CellID,DNA1,BG1,BG2,BG3,DNA2,CD25,CD2,CD10,DNA3,CD163,CD3D,CD5,DNA4,CD30,ACTIN,CD45,DNA5,CD206,CD68,PD1,DNA6,KI67,CD11C,CD7,DNA7,CD8A,FOXP3,CD20,DNA8,CD4,HLADR,PSTAT3,DNA9,PS6,PERK,CD21,DNA10,CD43,NOS2,PDL1,DNA11,CD11B,CD57,MHCI,DNA12,CD15,ASMA,CD56,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,CD25_expression,CD163_expression,CD3D_expression,CD45_expression,CD206_expression,CD68_expression,PD1_expression,KI67_expression,CD11C_expression,CD8A_expression,FOXP3_expression,CD20_expression,CD4_expression,HLADR_expression,CD21_expression,CD43_expression,NOS2_expression,PDL1_expression,CD11B_expression,CD57_expression,MHCI_expression,CD15_expression,ASMA_expression,CD56_expression,detailed_cell_type,broad_cell_type
831,23115.87755,761.7619048,503.9863946,1097.272109,19813.02721,613.5442177,452.2721088,1623.170068,11069.63946,497.1156463,409.8843537,1787.639456,15904.55102,1172.013605,4483.027211,3698.761905,5767.598639,1172.190476,389.3605442,2597.918367,10253.05442,3222.741497,957.8163265,467.1632653,12395.44898,422.3129252,123.0952381,5606.102041,10495.04762,1391.782313,1006.938776,2791.687075,8486.986395,562.4965986,260.4421769,9931.986395,6492.251701,827.3333333,394.4013605,1356.653061,4631.129252,1065.904762,156.5102041,4457.428571,4019.210884,1193.659864,163.2517007,3246.666667,890.1768707,247.8843537,147,16.44380242,11.65559227,0.705395742,0.91875,0.583333333,0.296107619,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,B Cell,B Cells
832,21269.54922,752.6321244,498.253886,1094.564767,18779.27461,615.6321244,520.6632124,1693.678756,10018.96891,481.2849741,482.3264249,1781.53886,14881.82383,1169.005181,3529.036269,2782.186528,5431.569948,1180.720207,380.6994819,2956.150259,9737.507772,5238.61658,887.2331606,477.8497409,11768.94819,474.4611399,117.3989637,3942.471503,9791.253886,1391.170984,857.4404145,2831.284974,7986.746114,557.2746114,267.9222798,17303.98446,6174.901554,838.0829016,393.134715,1353.476684,4180.740933,828.0984456,155.015544,4657.455959,3714.88601,1179.341969,167.5233161,3212.647668,916.3160622,248.4093264,193,18.03082312,15.73020465,0.488781295,0.784552846,0.507894737,1.457731412,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,Follicular Dendritic Cell,B Cells
833,23752.45946,819.172973,766.8054054,1148.535135,20709.03784,644.1189189,733.8378378,1849.778378,10191.12432,489.7135135,618.4,1869.643243,15872.94054,1193.2,5121.708108,2395.702703,5811.416216,1241.837838,382.7405405,2663.567568,10383.02703,641.7459459,700.0972973,479.3567568,13029.75676,434.3081081,124.3837838,5036.605405,10545.15676,1495.621622,740.8486486,2833.432432,8589.875676,560.5189189,262.2054054,14702.05946,6505.783784,920.1135135,414.4648649,1357.043243,4158.52973,864.7459459,166.7675676,4359.605405,3831.491892,1210.67027,249.4432432,3247.427027,991.9081081,250.227027,185,20.2291337,12.06225764,0.802775439,0.885167464,0.616666667,-0.299312771,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,Follicular Dendritic Cell,B Cells
834,49947.42029,958.8985507,562.0724638,1150.202899,45104.15942,783.4057971,961.2463768,1734.724638,25596.26087,650.3913043,1202.086957,1827.086957,36159.95652,1470.144928,3968.623188,4821.753623,13378.72464,1548.869565,454.2173913,2545.695652,26226.56522,455.0724638,207.2753623,1327.768116,29948.76812,486.1449275,151.7101449,3206.724638,24806.4058,2234.594203,943.1014493,2859.913043,20705.95652,677.884058,340.6376812,2129.014493,16583.52174,1311.043478,524.1449275,1310.797101,12893.53623,740.5942029,203.8405797,4342.826087,10604.71014,1519.144928,199.4492754,3381.985507,322.2608696,245.2318841,69,11.79182391,7.970285924,0.7369784,0.884615385,0.575,-1.374924005,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,Helper T Cell,T Cells
835,22876.1,930.1666667,784.7333333,1128.833333,22537.1,740.9333333,919.0666667,1687.466667,11860.26667,585.9666667,861.1333333,1827.433333,15830.36667,1351.2,6844.933333,7761.2,7097.6,1359.266667,407.2,2494.4,13364.96667,445.0666667,689.6,695.6666667,13679.6,512.1333333,155.7,5775.033333,10918.33333,1924.6,1223.266667,2820.033333,9405.8,875.5666667,299.3333333,2785.033333,7479.066667,1182.533333,469.8,1310.566667,6192.2,832.2,185.2666667,8704.033333,4509.266667,1402.6,242.6,3323.066667,330.3333333,244.5,30,8.945679718,4.850811266,0.840216011,0.833333333,0.535714286,-0.54583395,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,Helper T Cell,T Cells
836,49894.68675,981.7349398,501.4819277,1137.626506,43266.66265,787.1807229,820.5542169,1699.807229,24980.59036,654.2289157,530.2409639,1739.156627,35858.81928,1455.554217,3471.759036,3399.759036,12923.98795,1541.746988,461.4939759,2455.951807,25243.39759,463.1566265,446.7951807,531.5662651,29871.3012,516.3975904,155.060241,3117.036145,24304.93976,1744.759036,909.2289157,2843.73494,20139.81928,694.9518072,335.5783133,1807.060241,15996.50602,1020.084337,514.6987952,1342.168675,12215.73494,799.5421687,201.4216867,5119.46988,10285.87952,1546.46988,403.1807229,3192.698795,335.8915663,247.3373494,83,14.60474031,7.830649193,0.84410891,0.912087912,0.538961039,-0.454471803,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,Macrophage,Other Cells
837,34637.96262,872.9065421,441.4579439,1077.345794,32246.19626,714.5700935,528.8317757,1501.523364,17141.96262,598.411215,420.1214953,1722.392523,24432.42056,1367.915888,2819.878505,2830.242991,8752.485981,1393.261682,418.3457944,2439.429907,17006.92523,416.4485981,732.953271,419.8317757,18988.29907,382.2429907,131.8691589,1882.850467,15450.8785,1491.71028,880.0934579,2818.766355,12802.04673,605.8037383,296.1775701,1598.327103,10427.50467,846.4953271,465.7570093,1301.542056,8196.775701,782.2803738,178.6448598,2625.364486,6538.056075,1434.018692,364.7102804,3114.850467,376.7850467,247.9158879,107,12.91192458,10.86449282,0.540364669,0.955357143,0.633136095,-1.000567458,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,Macrophage,Other Cells
838,46644.56977,1127.918605,620.627907,1158.255814,40902.67442,857.3139535,820.3604651,1736.325581,21894.03488,705.0232558,612.6627907,1787.72093,31249.18605,1544.534884,5295.569767,4311.046512,9830.790698,1446.290698,432.255814,2441.255814,15671.46512,403.9069767,489.3139535,468.2790698,18566.72093,417.5930233,131.1046512,3708.872093,15411.77907,1501.313953,893.0,2812.72093,12460.0,614.6627907,290.9069767,1953.906977,9953.72093,864.744186,461.9418605,1325.093023,7365.569767,723.8488372,172.8604651,3061.872093,6190.023256,1316.127907,342.1976744,3368.209302,419.2325581,247.5348837,86,13.0167181,8.902900807,0.729520499,0.934782609,0.558441558,-0.393682998,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,NK Cell,Other Cells
839,31942.28235,857.4352941,541.3882353,1099.470588,27455.2,712.1411765,644.4941176,1546.952941,14953.54118,581.8823529,529.3058824,1784.188235,20851.01176,1307.729412,5557.588235,5459.811765,7969.282353,1344.647059,416.3294118,2453.164706,13849.57647,403.4823529,1367.470588,469.3647059,16624.70588,446.9529412,131.2117647,3948.564706,13252.25882,1525.376471,1082.541176,2808.741176,10883.95294,626.8117647,294.1882353,2713.105882,8800.541176,895.2705882,448.0,1346.047059,6705.6,958.3529412,177.8705882,5502.529412,5358.082353,1334.282353,274.6235294,3213.388235,454.8705882,245.9176471,85,13.43179857,8.715690319,0.76088664,0.858585859,0.594405594,-1.144519971,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,Macrophage,Other Cells
840,24876.78049,789.2520325,542.1788618,1100.642276,22301.99187,645.9593496,583.2845528,1633.154472,12322.2439,525.4308943,512.2601626,1838.682927,17242.44715,1269.96748,6396.203252,3669.479675,6107.813008,1219.349593,353.5284553,2698.219512,11567.21951,6026.333333,239.9837398,470.1138211,13432.65041,436.5447154,121.7642276,7881.308943,11369.85366,1484.276423,1154.731707,2820.95935,9418.268293,758.4390244,266.8455285,6561.560976,7395.0,892.6910569,416.8455285,1317.707317,5509.739837,670.5365854,167.5284553,4475.178862,4634.544715,1234.227642,151.2195122,3272.674797,575.9430894,248.3333333,123,13.87219728,11.33994411,0.575987652,0.946153846,0.727810651,-0.872708354,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,B Cell,B Cells
